Frequency,1,2,3,4,5,6,7
1,45,50.1,54.4,60.4,62.8,65,67.4
1.25,46.2,51.2,55.6,61.5,64.1,66.4,68.8
1.6,47.5,52.3,56.8,62.6,65.3,67.7,70.3
2,48.7,53.4,58,63.7,66.6,69.1,71.7
2.5,49.9,54.5,59.2,64.8,67.8,70.4,73.2
3.2,51.2,55.6,60.4,65.9,69,71.8,74.6
4,52.4,56.7,61.6,67,70.3,73.1,76.1
5,53.7,57.8,62.8,68.1,71.5,74.5,77.5
6.4,54.9,58.9,64,69.2,72.8,75.8,79
8,56.2,60.1,65.2,70.4,74,77.2,80.5
10,57.3,61.1,66.3,71.4,75.2,78.5,81.9
12.5,58.7,62.3,67.6,72.5,76.5,79.8,83.3
15,59.7,63.3,68.5,73.6,77.4,80.8,84.6
16,60,63.5,68.8,74,77.8,81.3,84.9
20,61,64.4,69.9,74.6,78.9,82.5,86.2
25,61.9,65.5,70.9,76.1,79.9,83.5,87.4
30,62.3,66.1,71.4,76.9,80.9,84.5,88.1
31.5,62.3,66.4,71.6,77,81,84.8,88.4
40,62.2,67.3,72.2,77.3,81.5,85.5,89.3
50,61.3,67.4,72.4,77.3,81.7,86,89.7
60,60.2,66.7,72.1,77.1,81.5,86,89.9
63,59.7,66.2,71.8,76.9,81.4,85.8,89.7
70,58.8,65.1,71,76,80.8,85.3,89.5
80,57.4,63.4,69.3,74.4,79.2,83.8,88.6
90,56.1,61.8,67.6,72.6,77.5,82.2,87
100,54.9,60.1,65.7,71,76,80.8,85.6
125,52.7,57,62.4,67.8,72.6,77.4,82.3
150,51.4,54.9,60.2,65.3,69.9,74.6,79.4
160,51,54.3,59.5,64.4,69,73.7,78.6
200,48.9,52.2,57.2,61.6,66,70.5,75.3
250,46.2,50.4,54.9,59,63.4,67.5,72.2
300,44,48,53.2,57.2,61.4,65.2,69.8
315,43.4,47.4,52.9,56.6,60.9,64.6,69.1
400,40.6,44.6,50.9,54.4,58.5,61.9,66.2
500,37.9,41.9,49.2,52.6,56.5,59.8,63.9
600,35.8,39.8,47,50.4,54.3,57.6,61.7
630,35.2,39.2,46.4,49.8,53.7,57,61.1
700,33.9,37.9,45.2,48.6,52.5,55.8,59.9
800,32.3,36.3,43.6,47,50.9,54.2,58.3
900,30.9,34.9,42.2,45.6,49.5,52.8,56.9
1000,29.7,33.7,40.9,44.3,48.2,51.5,55.6
1250,27,31,38.3,41.7,45.6,48.9,53
1500,24.8,28.8,36.1,39.5,43.4,46.7,50.8
1600,24.1,28.1,35.3,38.7,42.6,45.9,50
2000,21.4,25.4,32.7,36.1,40,43.3,47.4
2500,18.8,22.8,30,33.4,37.3,40.6,44.7
3000,16.6,20.6,27.8,31.2,35.1,38.4,42.5
3150,16,20,27.3,30.7,34.6,37.9,42
4000,13.2,17.2,24.4,27.8,31.7,35,39.1
5000,10.5,14.5,21.8,25.2,29.1,32.4,36.5
6000,8.3,12.3,19.6,23,26.9,30.2,34.3
6300,7.7,11.7,19,22.4,26.3,29.6,33.7
7000,6.5,10.5,17.8,21.2,25.1,28.4,32.5
8000,4.9,8.9,16.2,19.6,23.5,26.8,30.9
9000,3.5,7.5,14.8,18.2,22.1,25.4,29.5
10000,0.1,0.1,13.5,16.9,20.8,24.1,28.2
